status;duration;credit_history;purpose;amount;credit_risk
balance less than 0 Euro;36;no credits taken or all credits paid back duly;furniture/equipment;9590;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;all credits at this bank paid back duly;car (new);11684;good credit risk
balance less than 0 Euro;6;no credits taken or all credits paid back duly;furniture/equipment;4126;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;all credits at this bank paid back duly;furniture/equipment;2918;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;furniture/equipment;2426;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;furniture/equipment;10206;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;radio/television;1748;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;no credits taken or all credits paid back duly;car (used);5956;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;no credits taken or all credits paid back duly;others;3640;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;furniture/equipment;5744;good credit risk
balance between 0 and 200 Euro;24;no credits taken or all credits paid back duly;car (used);3850;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;no credits taken or all credits paid back duly;car (used);5030;good credit risk
balance between 0 and 200 Euro;6;no credits taken or all credits paid back duly;car (used);4232;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;no credits taken or all credits paid back duly;furniture/equipment;2906;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;2728;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;no credits taken or all credits paid back duly;car (used);3086;good credit risk
balance less than 0 Euro;12;no credits taken or all credits paid back duly;others;2636;good credit risk
no checking account;24;critical account or other credits elsewhere;others;4650;good credit risk
balance less than 0 Euro;6;all credits at this bank paid back duly;vacation;1864;good credit risk
balance between 0 and 200 Euro;24;all credits at this bank paid back duly;furniture/equipment;6296;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;no credits taken or all credits paid back duly;furniture/equipment;7670;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;repairs;7664;good credit risk
balance less than 0 Euro;24;no credits taken or all credits paid back duly;furniture/equipment;10168;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;all credits at this bank paid back duly;car (used);4812;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;no credits taken or all credits paid back duly;furniture/equipment;4788;good credit risk
balance at least 200 Euro or salary for at least 1 year;21;no credits taken or all credits paid back duly;car (new);4952;good credit risk
no checking account;24;no credits taken or all credits paid back duly;car (new);5928;good credit risk
no checking account;12;no credits taken or all credits paid back duly;car (used);2524;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;retraining;3084;good credit risk
balance less than 0 Euro;24;all credits at this bank paid back duly;furniture/equipment;3486;good credit risk
balance between 0 and 200 Euro;12;critical account or other credits elsewhere;furniture/equipment;818;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;4342;good credit risk
balance at least 200 Euro or salary for at least 1 year;48;all credits at this bank paid back duly;car (new);17716;good credit risk
balance less than 0 Euro;24;no credits taken or all credits paid back duly;others;7024;good credit risk
balance less than 0 Euro;12;no credits taken or all credits paid back duly;furniture/equipment;2316;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;furniture/equipment;5368;good credit risk
no checking account;12;no credits taken or all credits paid back duly;furniture/equipment;2996;good credit risk
balance at least 200 Euro or salary for at least 1 year;30;all credits at this bank paid back duly;furniture/equipment;11908;good credit risk
balance less than 0 Euro;48;critical account or other credits elsewhere;retraining;12832;bad credit risk
balance less than 0 Euro;12;all credits at this bank paid back duly;car (used);7234;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;furniture/equipment;2582;good credit risk
balance between 0 and 200 Euro;24;all credits at this bank paid back duly;retraining;2550;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (used);7944;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;all credits at this bank paid back duly;car (used);6686;good credit risk
balance between 0 and 200 Euro;15;no credits taken or all credits paid back duly;repairs;784;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;all credits at this bank paid back duly;others;4268;good credit risk
balance at least 200 Euro or salary for at least 1 year;30;all credits at this bank paid back duly;furniture/equipment;11542;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;retraining;9052;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;all credits at this bank paid back duly;car (used);5576;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;all credits at this bank paid back duly;furniture/equipment;2764;good credit risk
balance between 0 and 200 Euro;36;no credits taken or all credits paid back duly;furniture/equipment;11696;good credit risk
no checking account;12;no credits taken or all credits paid back duly;others;2456;bad credit risk
balance between 0 and 200 Euro;12;no credits taken or all credits paid back duly;furniture/equipment;2594;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture/equipment;3104;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;3926;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture/equipment;6470;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;retraining;8278;good credit risk
balance less than 0 Euro;12;all credits at this bank paid back duly;car (new);3608;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;no credits taken or all credits paid back duly;retraining;3900;good credit risk
balance at least 200 Euro or salary for at least 1 year;48;existing credits paid back duly till now;furniture/equipment;25498;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;radio/television;2472;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;others;2110;good credit risk
no checking account;30;delay in paying off in the past;retraining;16144;good credit risk
balance at least 200 Euro or salary for at least 1 year;30;all credits at this bank paid back duly;furniture/equipment;5662;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;retraining;2898;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;no credits taken or all credits paid back duly;retraining;11484;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;others;4780;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture/equipment;6860;good credit risk
balance less than 0 Euro;36;no credits taken or all credits paid back duly;repairs;4546;good credit risk
balance between 0 and 200 Euro;21;no credits taken or all credits paid back duly;others;5846;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture/equipment;3802;good credit risk
balance less than 0 Euro;36;no credits taken or all credits paid back duly;repairs;7422;good credit risk
balance less than 0 Euro;48;no credits taken or all credits paid back duly;others;16974;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;others;4510;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;2524;good credit risk
balance at least 200 Euro or salary for at least 1 year;33;all credits at this bank paid back duly;car (new);14506;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;all credits at this bank paid back duly;others;13522;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;car (used);3634;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;4282;good credit risk
balance at least 200 Euro or salary for at least 1 year;48;critical account or other credits elsewhere;retraining;7218;good credit risk
balance at least 200 Euro or salary for at least 1 year;30;no credits taken or all credits paid back duly;furniture/equipment;4666;good credit risk
balance at least 200 Euro or salary for at least 1 year;28;critical account or other credits elsewhere;car (new);15648;good credit risk
balance between 0 and 200 Euro;18;critical account or other credits elsewhere;furniture/equipment;2890;good credit risk
no checking account;24;no credits taken or all credits paid back duly;car (used);15442;good credit risk
no checking account;21;no credits taken or all credits paid back duly;others;7526;good credit risk
balance less than 0 Euro;18;no credits taken or all credits paid back duly;retraining;8878;good credit risk
no checking account;12;no credits taken or all credits paid back duly;furniture/equipment;2214;good credit risk
balance less than 0 Euro;15;no credits taken or all credits paid back duly;furniture/equipment;2888;good credit risk
balance less than 0 Euro;48;critical account or other credits elsewhere;others;24338;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;furniture/equipment;5506;good credit risk
balance between 0 and 200 Euro;4;no credits taken or all credits paid back duly;others;2988;good credit risk
no checking account;24;critical account or other credits elsewhere;car (used);5656;good credit risk
no checking account;24;critical account or other credits elsewhere;car (used);4966;good credit risk
balance between 0 and 200 Euro;6;all credits at this bank paid back duly;others;2598;good credit risk
balance less than 0 Euro;9;no credits taken or all credits paid back duly;others;3098;good credit risk
balance between 0 and 200 Euro;10;no credits taken or all credits paid back duly;others;7898;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;no credits taken or all credits paid back duly;car (new);5802;good credit risk
balance between 0 and 200 Euro;6;no credits taken or all credits paid back duly;others;1418;good credit risk
no checking account;47;no credits taken or all credits paid back duly;others;21444;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;2574;good credit risk
no checking account;18;critical account or other credits elsewhere;furniture/equipment;3880;good credit risk
balance between 0 and 200 Euro;30;all credits at this bank paid back duly;furniture/equipment;7312;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;existing credits paid back duly till now;car (new);9358;good credit risk
balance at least 200 Euro or salary for at least 1 year;27;existing credits paid back duly till now;car (new);17226;good credit risk
no checking account;18;no credits taken or all credits paid back duly;car (used);5318;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;all credits at this bank paid back duly;furniture/equipment;3032;good credit risk
no checking account;18;no credits taken or all credits paid back duly;others;8760;good credit risk
balance at least 200 Euro or salary for at least 1 year;14;existing credits paid back duly till now;others;1604;good credit risk
balance at least 200 Euro or salary for at least 1 year;21;no credits taken or all credits paid back duly;retraining;3144;good credit risk
balance less than 0 Euro;48;critical account or other credits elsewhere;retraining;7132;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture/equipment;2556;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;delay in paying off in the past;furniture/equipment;852;good credit risk
balance at least 200 Euro or salary for at least 1 year;39;no credits taken or all credits paid back duly;car (new);17176;good credit risk
no checking account;30;no credits taken or all credits paid back duly;car (new);7714;good credit risk
balance less than 0 Euro;12;no credits taken or all credits paid back duly;others;1370;bad credit risk
no checking account;24;no credits taken or all credits paid back duly;furniture/equipment;3206;good credit risk
balance at least 200 Euro or salary for at least 1 year;21;no credits taken or all credits paid back duly;car (used);4482;good credit risk
no checking account;24;no credits taken or all credits paid back duly;furniture/equipment;4768;good credit risk
balance at least 200 Euro or salary for at least 1 year;4;no credits taken or all credits paid back duly;car (used);1202;good credit risk
balance at least 200 Euro or salary for at least 1 year;39;no credits taken or all credits paid back duly;car (new);5138;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;all credits at this bank paid back duly;furniture/equipment;2632;good credit risk
balance at least 200 Euro or salary for at least 1 year;60;no credits taken or all credits paid back duly;others;20732;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;no credits taken or all credits paid back duly;retraining;3136;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;furniture/equipment;1258;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;critical account or other credits elsewhere;furniture/equipment;3500;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);6976;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;all credits at this bank paid back duly;furniture/equipment;3600;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;existing credits paid back duly till now;car (used);8302;good credit risk
balance less than 0 Euro;15;no credits taken or all credits paid back duly;domestic appliances;5262;good credit risk
balance at least 200 Euro or salary for at least 1 year;21;no credits taken or all credits paid back duly;car (new);10496;good credit risk
balance less than 0 Euro;18;existing credits paid back duly till now;others;5798;good credit risk
balance less than 0 Euro;18;existing credits paid back duly till now;domestic appliances;12408;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;1608;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;no credits taken or all credits paid back duly;furniture/equipment;7190;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;all credits at this bank paid back duly;car (new);11422;good credit risk
balance between 0 and 200 Euro;15;no credits taken or all credits paid back duly;retraining;5374;good credit risk
no checking account;15;existing credits paid back duly till now;car (used);7286;good credit risk
balance at least 200 Euro or salary for at least 1 year;10;all credits at this bank paid back duly;car (used);4292;good credit risk
no checking account;10;no credits taken or all credits paid back duly;furniture/equipment;4630;good credit risk
balance at least 200 Euro or salary for at least 1 year;5;no credits taken or all credits paid back duly;retraining;6896;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;car (used);5416;good credit risk
balance at least 200 Euro or salary for at least 1 year;11;all credits at this bank paid back duly;others;2786;good credit risk
balance between 0 and 200 Euro;10;no credits taken or all credits paid back duly;car (used);2550;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;car (used);2626;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture/equipment;2986;good credit risk
balance at least 200 Euro or salary for at least 1 year;22;no credits taken or all credits paid back duly;furniture/equipment;5350;good credit risk
balance less than 0 Euro;9;no credits taken or all credits paid back duly;furniture/equipment;4236;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;no credits taken or all credits paid back duly;others;1818;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;car (used);2516;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;critical account or other credits elsewhere;furniture/equipment;3138;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;no credits taken or all credits paid back duly;car (new);2472;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;existing credits paid back duly till now;car (used);15356;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;no credits taken or all credits paid back duly;domestic appliances;1320;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (used);5670;good credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);5340;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;critical account or other credits elsewhere;vacation;6894;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;furniture/equipment;7136;good credit risk
balance less than 0 Euro;21;all credits at this bank paid back duly;retraining;7304;good credit risk
no checking account;24;no credits taken or all credits paid back duly;furniture/equipment;7320;good credit risk
balance between 0 and 200 Euro;9;no credits taken or all credits paid back duly;furniture/equipment;2252;good credit risk
balance between 0 and 200 Euro;6;existing credits paid back duly till now;furniture/equipment;1366;good credit risk
balance between 0 and 200 Euro;12;no credits taken or all credits paid back duly;car (used);4502;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;no credits taken or all credits paid back duly;car (new);9350;good credit risk
balance less than 0 Euro;21;existing credits paid back duly till now;others;4706;good credit risk
no checking account;21;no credits taken or all credits paid back duly;furniture/equipment;6714;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;no credits taken or all credits paid back duly;others;1344;good credit risk
no checking account;6;all credits at this bank paid back duly;furniture/equipment;676;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;furniture/equipment;5394;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;others;5014;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;existing credits paid back duly till now;furniture/equipment;2956;good credit risk
balance at least 200 Euro or salary for at least 1 year;12;all credits at this bank paid back duly;repairs;7130;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;no credits taken or all credits paid back duly;car (used);4442;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;all credits at this bank paid back duly;furniture/equipment;3796;good credit risk
balance less than 0 Euro;6;existing credits paid back duly till now;retraining;2898;good credit risk
balance at least 200 Euro or salary for at least 1 year;15;existing credits paid back duly till now;car (used);1920;good credit risk
balance at least 200 Euro or salary for at least 1 year;36;no credits taken or all credits paid back duly;car (new);16266;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;no credits taken or all credits paid back duly;car (used);4602;good credit risk
balance at least 200 Euro or salary for at least 1 year;6;existing credits paid back duly till now;retraining;3486;good credit risk
balance less than 0 Euro;12;no credits taken or all credits paid back duly;car (used);1966;good credit risk
balance at least 200 Euro or salary for at least 1 year;18;existing credits paid back duly till now;furniture/equipment;4640;good credit risk
no checking account;12;critical account or other credits elsewhere;vacation;678;good credit risk
balance between 0 and 200 Euro;24;no credits taken or all credits paid back duly;furniture/equipment;10304;good credit risk
balance between 0 and 200 Euro;24;no credits taken or all credits paid back duly;car (used);7498;good credit risk
balance at least 200 Euro or salary for at least 1 year;9;all credits at this bank paid back duly;furniture/equipment;6148;good credit risk
balance between 0 and 200 Euro;9;no credits taken or all credits paid back duly;furniture/equipment;1490;bad credit risk
balance at least 200 Euro or salary for at least 1 year;24;no credits taken or all credits paid back duly;others;2938;good credit risk
no checking account;6;no credits taken or all credits paid back duly;car (used);2748;good credit risk
