example_idx,intrv_concept,intrv_category,p(concept_in_explanation),concept_ranking
8,personal_status_sex,Personal Information,0.0,11
8,other_debtors,Credit History,0.25,10
8,present_residence,Personal Information,0.75,9
8,property,Collateral Information,1.0,1
8,age,Current Credit Information,1.0,1
8,other_installment_plans,Income Information,0.0,11
8,housing,Collateral Information,0.0,11
8,number_credits,Credit History,0.0,11
8,job,Income Information,1.0,1
8,people_liable,Collateral Information,0.0,11
8,telephone,Personal Information,0.0,11
8,foreign_worker,Personal Information,0.0,11
9,status,Collateral Information,1.0,1
9,duration,Current Credit Information,0.0,15
9,credit_history,Credit History,1.0,1
9,purpose,Current Credit Information,0.25,10
9,amount,Current Credit Information,0.25,10
9,savings,Collateral Information,1.0,1
9,employment_duration,Income Information,1.0,1
9,installment_rate,Current Credit Information,1.0,1
9,personal_status_sex,Personal Information,0.0,15
9,other_debtors,Credit History,0.25,10
9,present_residence,Personal Information,1.0,1
9,property,Collateral Information,1.0,1
9,age,Current Credit Information,1.0,1
9,other_installment_plans,Income Information,0.0,15
9,housing,Collateral Information,0.25,10
9,number_credits,Credit History,0.0,15
9,job,Income Information,1.0,1
9,people_liable,Collateral Information,0.0,15
9,telephone,Personal Information,0.25,10
9,foreign_worker,Personal Information,0.0,15
